,Wk,Day,Date,Time,Home,xG,Score1,Score2,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
35,4.0,Thu,2020-10-01,21:30,Celta Vigo,0.5,0,3,0.7,Barcelona,,Estadio de Balaídos,Carlos del Cerro,Match Report,
36,,,,,,,NA,NA,,,,,,,
37,5.0,Sat,2020-10-03,13:00,Valladolid,1.2,1,2,1.3,Eibar,,Estadio Municipal José Zorrilla,Isidro Díaz de Mera,Match Report,
38,5.0,Sat,2020-10-03,16:00,Atlético Madrid,0.6,0,0,0.3,Villarreal,,Estadio Wanda Metropolitano,Alejandro Hernández,Match Report,
39,5.0,Sat,2020-10-03,18:30,Elche,0.3,0,0,2.1,Huesca,,Estadio Manuel Martínez Valero,Mario Melero,Match Report,
40,5.0,Sat,2020-10-03,18:30,Real Sociedad,2.6,3,0,0.4,Getafe,,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Match Report,
41,5.0,Sat,2020-10-03,21:00,Valencia,0.3,0,2,1.9,Betis,,Estadio de Mestalla,Guillermo Cuadra,Match Report,
42,5.0,Sun,2020-10-04,12:00,Osasuna,1.1,2,0,0.7,Celta Vigo,,Estadio El Sadar,Ricardo de Burgos,Match Report,
43,5.0,Sun,2020-10-04,14:00,Alavés,0.6,1,0,0.6,Athletic Club,,Estadio de Mendizorroza,José Sánchez,Match Report,
44,5.0,Sun,2020-10-04,16:00,Levante,0.9,0,2,1.6,Real Madrid,,Estadio Ciudad de Valencia,José Luis Munuera,Match Report,
45,5.0,Sun,2020-10-04,18:30,Cádiz,1.1,1,1,0.7,Granada,,Estadio Ramón de Carranza,Alberola Rojas,Match Report,
46,5.0,Sun,2020-10-04,21:00,Barcelona,1.8,1,1,0.7,Sevilla,,Camp Nou,Jesús Gil,Match Report,
47,,,,,,,NA,NA,,,,,,,
48,6.0,Sat,2020-10-17,13:00,Granada,1.3,1,0,0.4,Sevilla,,Estadio Nuevo Los Cármenes,Pablo González,Match Report,
49,6.0,Sat,2020-10-17,16:00,Celta Vigo,1.5,0,2,1.1,Atlético Madrid,,Estadio de Balaídos,Juan Martínez,Match Report,
50,6.0,Sat,2020-10-17,18:30,Real Madrid,0.8,0,1,1.6,Cádiz,,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
51,6.0,Sat,2020-10-17,21:00,Getafe,1.7,1,0,0.9,Barcelona,,Coliseum Alfonso Pérez,César Soto,Match Report,
52,6.0,Sun,2020-10-18,12:00,Eibar,0.3,0,0,0.6,Osasuna,,Estadio Municipal de Ipurúa,David Medié,Match Report,
53,6.0,Sun,2020-10-18,14:00,Athletic Club,2.4,2,0,0.4,Levante,,San Mamés,Alberola Rojas,Match Report,
54,6.0,Sun,2020-10-18,16:00,Villarreal,1.7,2,1,0.6,Valencia,,Estadio de la Cerámica,Carlos del Cerro,Match Report,
55,6.0,Sun,2020-10-18,18:30,Alavés,1.2,0,2,1.2,Elche,,Estadio de Mendizorroza,Adrián Cordero,Match Report,
56,6.0,Sun,2020-10-18,18:30,Huesca,1.0,2,2,1.0,Valladolid,,Estadio El Alcoraz,Jorge Figueroa,Match Report,
57,6.0,Sun,2020-10-18,21:00,Betis,0.4,0,3,1.6,Real Sociedad,,Estadio Benito Villamarín,Javier Estrada,Match Report,
58,,,,,,,NA,NA,,,,,,,
59,7.0,Fri,2020-10-23,21:00,Elche,0.1,2,1,1.7,Valencia,,Estadio Manuel Martínez Valero,César Soto,Match Report,
60,7.0,Sat,2020-10-24,16:00,Barcelona,1.1,1,3,3.3,Real Madrid,,Camp Nou,Juan Martínez,Match Report,
61,7.0,Sat,2020-10-24,18:30,Sevilla,1.7,0,1,0.4,Eibar,,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,
62,7.0,Sat,2020-10-24,18:30,Osasuna,1.0,1,0,0.8,Athletic Club,,Estadio El Sadar,Guillermo Cuadra,Match Report,
63,7.0,Sat,2020-10-24,21:00,Atlético Madrid,1.6,2,0,0.8,Betis,,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,Match Report,
64,7.0,Sun,2020-10-25,14:00,Valladolid,0.4,0,2,2.6,Alavés,,Estadio Municipal José Zorrilla,José Luis Munuera,Match Report,
65,7.0,Sun,2020-10-25,16:00,Cádiz,0.2,0,0,0.6,Villarreal,,Estadio Ramón de Carranza,Ricardo de Burgos,Match Report,
66,7.0,Sun,2020-10-25,18:30,Getafe,0.8,0,1,1.2,Granada,,Coliseum Alfonso Pérez,Jesús Gil,Match Report,
67,7.0,Sun,2020-10-25,21:00,Real Sociedad,1.9,4,1,0.5,Huesca,,Estadio Municipal de Anoeta,Isidro Díaz de Mera,Match Report,
68,7.0,Mon,2020-10-26,21:00,Levante,1.2,1,1,0.9,Celta Vigo,,Estadio Ciudad de Valencia,Mario Melero,Match Report,
69,,,,,,,NA,NA,,,,,,,
70,8.0,Fri,2020-10-30,21:00,Eibar,0.5,0,2,0.8,Cádiz,,Estadio Municipal de Ipurúa,Antonio Matéu Lahoz,Match Report,
71,8.0,Sat,2020-10-31,14:00,Real Madrid,1.5,4,1,1.1,Huesca,,Estadio Santiago Bernabéu,Pablo González,Match Report,
72,8.0,Sat,2020-10-31,16:15,Athletic Club,1.2,2,1,0.7,Sevilla,,San Mamés,Carlos del Cerro,Match Report,
73,8.0,Sat,2020-10-31,18:30,Osasuna,0.8,1,3,2.9,Atlético Madrid,,Estadio El Sadar,Javier Estrada,Match Report,
74,8.0,Sat,2020-10-31,21:00,Alavés,1.1,1,1,2.3,Barcelona,,Estadio de Mendizorroza,Alejandro Hernández,Match Report,
75,8.0,Sun,2020-11-01,14:00,Betis,3.1,3,1,0.5,Elche,,Estadio Benito Villamarín,David Medié,Match Report,
76,8.0,Sun,2020-11-01,16:00,Celta Vigo,1.4,1,4,3.4,Real Sociedad,,Estadio de Balaídos,Adrián Cordero,Match Report,
77,8.0,Sun,2020-11-01,18:30,Granada,0.6,1,1,1.0,Levante,,Estadio Nuevo Los Cármenes,Santiago Jaime,Match Report,
78,8.0,Sun,2020-11-01,21:00,Valencia,1.4,2,2,2.1,Getafe,,Estadio de Mestalla,Jorge Figueroa,Match Report,
79,8.0,Mon,2020-11-02,21:00,Villarreal,2.0,2,0,1.0,Valladolid,,Estadio de la Cerámica,Alberola Rojas,Match Report,
80,,,,,,,NA,NA,,,,,,,
81,9.0,Fri,2020-11-06,21:00,Elche,1.4,1,1,2.1,Celta Vigo,,Estadio Manuel Martínez Valero,Ricardo de Burgos,Match Report,
82,9.0,Sat,2020-11-07,14:00,Huesca,1.6,1,1,0.8,Eibar,,Estadio El Alcoraz,Mario Melero,Match Report,
83,9.0,Sat,2020-11-07,16:15,Barcelona,4.4,5,2,1.2,Betis,,Camp Nou,Guillermo Cuadra,Match Report,
84,9.0,Sat,2020-11-07,18:30,Sevilla,1.3,1,0,0.5,Osasuna,,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
85,9.0,Sat,2020-11-07,21:00,Atlético Madrid,1.9,4,0,0.4,Cádiz,,Estadio Wanda Metropolitano,Adrián Cordero,Match Report,
86,9.0,Sun,2020-11-08,14:00,Getafe,0.7,1,3,2.0,Villarreal,,Coliseum Alfonso Pérez,José Luis Munuera,Match Report,
87,9.0,Sun,2020-11-08,16:15,Real Sociedad,2.6,2,0,0.8,Granada,,Estadio Municipal de Anoeta,Carlos del Cerro,Match Report,
88,9.0,Sun,2020-11-08,18:30,Levante,1.8,1,1,0.8,Alavés,,Estadio Ciudad de Valencia,Isidro Díaz de Mera,Match Report,
89,9.0,Sun,2020-11-08,18:30,Valladolid,2.3,2,1,2.1,Athletic Club,,Estadio Municipal José Zorrilla,César Soto,Match Report,
90,9.0,Sun,2020-11-08,21:00,Valencia,2.5,4,1,1.5,Real Madrid,,Estadio de Mestalla,Jesús Gil,Match Report,
91,,,,,,,NA,NA,,,,,,,
92,10.0,Fri,2020-11-20,21:00,Osasuna,1.2,1,1,1.0,Huesca,,Estadio El Sadar,Valentín Pizarro,Match Report,
93,10.0,Sat,2020-11-21,14:00,Levante,0.7,1,1,0.7,Elche,,Estadio Ciudad de Valencia,Jorge Figueroa,Match Report,
94,10.0,Sat,2020-11-21,16:15,Villarreal,2.0,1,1,0.6,Real Madrid,,Estadio de la Cerámica,Alejandro Hernández,Match Report,
95,10.0,Sat,2020-11-21,18:30,Sevilla,1.6,4,2,1.6,Celta Vigo,,Estadio Ramón Sánchez Pizjuán,César Soto,Match Report,
96,10.0,Sat,2020-11-21,21:00,Atlético Madrid,0.9,1,0,1.2,Barcelona,,Estadio Wanda Metropolitano,José Luis Munuera,Match Report,
97,10.0,Sun,2020-11-22,14:00,Eibar,1.8,0,0,0.8,Getafe,,Estadio Municipal de Ipurúa,Pablo González,Match Report,
98,10.0,Sun,2020-11-22,16:15,Cádiz,0.1,0,1,1.6,Real Sociedad,,Estadio Ramón de Carranza,Javier Estrada,Match Report,
99,10.0,Sun,2020-11-22,18:30,Granada,1.5,1,3,1.4,Valladolid,,Estadio Nuevo Los Cármenes,David Medié,Match Report,
100,10.0,Sun,2020-11-22,21:00,Alavés,1.6,2,2,2.7,Valencia,,Estadio de Mendizorroza,Santiago Jaime,Match Report,
101,10.0,Mon,2020-11-23,21:00,Athletic Club,2.5,4,0,0.4,Betis,,San Mamés,Alberola Rojas,Match Report,
102,,,,,,,NA,NA,,,,,,,
103,11.0,Fri,2020-11-27,21:00,Valladolid,1.3,1,1,1.3,Levante,,Estadio Municipal José Zorrilla,Valentín Pizarro,Match Report,
104,11.0,Sat,2020-11-28,14:00,Elche,0.2,1,1,0.6,Cádiz,,Estadio Manuel Martínez Valero,Carlos del Cerro,Match Report,
105,11.0,Sat,2020-11-28,16:15,Valencia,0.1,0,1,0.8,Atlético Madrid,,Estadio de Mestalla,Ricardo de Burgos,Match Report,
106,11.0,Sat,2020-11-28,18:30,Huesca,0.2,0,1,1.1,Sevilla,,Estadio El Alcoraz,Guillermo Cuadra,Match Report,
107,11.0,Sat,2020-11-28,21:00,Real Madrid,2.3,1,2,2.3,Alavés,,Estadio Santiago Bernabéu,Adrián Cordero,Match Report,
108,11.0,Sun,2020-11-29,14:00,Barcelona,3.7,4,0,1.1,Osasuna,,Camp Nou,Antonio Matéu Lahoz,Match Report,
109,11.0,Sun,2020-11-29,16:15,Getafe,0.7,1,1,0.2,Athletic Club,,Coliseum Alfonso Pérez,Mario Melero,Match Report,
110,11.0,Sun,2020-11-29,18:30,Celta Vigo,3.5,3,1,1.1,Granada,,Estadio de Balaídos,Isidro Díaz de Mera,Match Report,
111,11.0,Sun,2020-11-29,21:00,Real Sociedad,1.9,1,1,1.3,Villarreal,,Estadio Municipal de Anoeta,Jesús Gil,Match Report,
112,11.0,Mon,2020-11-30,21:00,Betis,0.6,0,2,2.6,Eibar,,Estadio Benito Villamarín,Juan Martínez,Match Report,
113,,,,,,,NA,NA,,,,,,,
114,12.0,Fri,2020-12-04,21:00,Athletic Club,0.5,0,2,1.0,Celta Vigo,,San Mamés,Jorge Figueroa,Match Report,
115,12.0,Sat,2020-12-05,14:00,Levante,2.3,3,0,0.6,Getafe,,Estadio Ciudad de Valencia,David Medié,Match Report,
116,12.0,Sat,2020-12-05,16:15,Sevilla,0.4,0,1,1.6,Real Madrid,,Estadio Ramón Sánchez Pizjuán,José Sánchez,Match Report,
117,12.0,Sat,2020-12-05,18:30,Atlético Madrid,1.1,2,0,0.6,Valladolid,,Estadio Wanda Metropolitano,Pablo González,Match Report,
118,12.0,Sat,2020-12-05,21:00,Cádiz,2.3,2,1,2.0,Barcelona,,Estadio Ramón de Carranza,César Soto,Match Report,
119,12.0,Sun,2020-12-06,14:00,Granada,1.6,3,3,1.5,Huesca,,Estadio Nuevo Los Cármenes,Alberola Rojas,Match Report,
120,12.0,Sun,2020-12-06,16:15,Osasuna,0.7,0,2,1.5,Betis,,Estadio El Sadar,Alejandro Hernández,Match Report,
121,12.0,Sun,2020-12-06,18:30,Villarreal,0.7,0,0,0.1,Elche,,Estadio de la Cerámica,Santiago Jaime,Match Report,
122,12.0,Sun,2020-12-06,21:00,Alavés,0.3,0,0,1.3,Real Sociedad,,Estadio de Mendizorroza,José Luis Munuera,Match Report,
123,12.0,Mon,2020-12-07,21:00,Eibar,1.3,0,0,0.8,Valencia,,Estadio Municipal de Ipurúa,Javier Estrada,Match Report,
124,,,,,,,NA,NA,,,,,,,
125,13.0,Fri,2020-12-11,21:00,Valladolid,1.8,3,2,1.6,Osasuna,,Estadio Municipal José Zorrilla,Adrián Cordero,Match Report,
126,13.0,Sat,2020-12-12,14:00,Valencia,1.6,2,2,1.7,Athletic Club,,Estadio de Mestalla,Carlos del Cerro,Match Report,
127,13.0,Sat,2020-12-12,16:15,Getafe,0.4,0,1,0.5,Sevilla,,Coliseum Alfonso Pérez,Juan Martínez,Match Report,
128,13.0,Sat,2020-12-12,18:30,Huesca,0.5,1,0,0.2,Alavés,,Estadio El Alcoraz,Mario Melero,Match Report,
129,13.0,Sat,2020-12-12,21:00,Real Madrid,0.6,2,0,0.4,Atlético Madrid,,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
130,13.0,Sun,2020-12-13,14:00,Real Sociedad,1.2,1,1,1.2,Eibar,,Estadio Municipal de Anoeta,Isidro Díaz de Mera,Match Report,
131,13.0,Sun,2020-12-13,16:15,Betis,0.5,1,1,1.2,Villarreal,,Estadio Benito Villamarín,Valentín Pizarro,Match Report,
132,13.0,Sun,2020-12-13,18:30,Elche,0.5,0,1,1.6,Granada,,Estadio Manuel Martínez Valero,Pablo González,Match Report,
133,13.0,Sun,2020-12-13,21:00,Barcelona,2.2,1,0,0.9,Levante,,Camp Nou,Ricardo de Burgos,Match Report,
134,13.0,Mon,2020-12-14,21:00,Celta Vigo,1.7,4,0,0.8,Cádiz,,Estadio de Balaídos,Guillermo Cuadra,Match Report,
135,,,,,,,NA,NA,,,,,,,
136,19.0,Tue,2020-12-15,22:00,Real Madrid,2.1,3,1,1.2,Athletic Club,,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
137,19.0,Wed,2020-12-16,21:00,Barcelona,2.4,2,1,2.2,Real Sociedad,,Camp Nou,José Sánchez,Match Report,
138,,,,,,,NA,NA,,,,,,,
139,14.0,Fri,2020-12-18,21:00,Athletic Club,1.5,2,0,0.2,Huesca,,San Mamés,Valentín Pizarro,Match Report,
140,14.0,Sat,2020-12-19,14:00,Atlético Madrid,1.9,3,1,0.7,Elche,,Estadio Wanda Metropolitano,Javier Estrada,Match Report,
141,14.0,Sat,2020-12-19,16:15,Barcelona,2.4,2,2,1.8,Valencia,,Camp Nou,Alejandro Hernández,Match Report,
142,14.0,Sat,2020-12-19,18:30,Levante,1.3,2,1,1.7,Real Sociedad,,Estadio Ciudad de Valencia,César Soto,Match Report,
143,14.0,Sat,2020-12-19,18:30,Osasuna,1.0,1,3,2.1,Villarreal,,Estadio El Sadar,Jorge Figueroa,Match Report,
144,14.0,Sat,2020-12-19,21:00,Sevilla,1.8,1,1,0.5,Valladolid,,Estadio Ramón Sánchez Pizjuán,Jesús Gil,Match Report,
145,14.0,Sun,2020-12-20,14:00,Celta Vigo,1.6,2,0,0.6,Alavés,,Estadio de Balaídos,Alberola Rojas,Match Report,
146,14.0,Sun,2020-12-20,16:15,Granada,1.2,2,0,0.6,Betis,,Estadio Nuevo Los Cármenes,José Sánchez,Match Report,
147,14.0,Sun,2020-12-20,18:30,Cádiz,0.3,0,2,1.2,Getafe,,Estadio Ramón de Carranza,Santiago Jaime,Match Report,
148,14.0,Sun,2020-12-20,21:00,Eibar,0.7,1,3,2.2,Real Madrid,,Estadio Municipal de Ipurúa,José Luis Munuera,Match Report,
149,,,,,,,NA,NA,,,,,,,
150,15.0,Tue,2020-12-22,17:30,Elche,1.5,2,2,2.4,Osasuna,,Estadio Manuel Martínez Valero,Ricardo de Burgos,Match Report,
151,15.0,Tue,2020-12-22,17:30,Valencia,0.9,0,1,1.8,Sevilla,,Estadio de Mestalla,Valentín Pizarro,Match Report,
152,15.0,Tue,2020-12-22,19:45,Real Sociedad,0.2,0,2,0.5,Atlético Madrid,,Estadio Municipal de Anoeta,Guillermo Cuadra,Match Report,
153,15.0,Tue,2020-12-22,19:45,Huesca,1.6,1,1,0.6,Levante,,Estadio El Alcoraz,Isidro Díaz de Mera,Match Report,
154,15.0,Tue,2020-12-22,22:00,Valladolid,0.7,0,3,3.6,Barcelona,,Estadio Municipal José Zorrilla,Mario Melero,Match Report,
155,15.0,Tue,2020-12-22,22:00,Villarreal,1.2,1,1,0.8,Athletic Club,,Estadio de la Cerámica,David Medié,Match Report,
156,15.0,Wed,2020-12-23,17:30,Getafe,0.2,1,1,0.8,Celta Vigo,,Coliseum Alfonso Pérez,Pablo González,Match Report,
157,15.0,Wed,2020-12-23,19:45,Real Madrid,1.3,2,0,0.8,Granada,,Estadio Santiago Bernabéu,Juan Martínez,Match Report,
158,15.0,Wed,2020-12-23,22:00,Alavés,2.3,2,1,0.6,Eibar,,Estadio de Mendizorroza,Carlos del Cerro,Match Report,
159,15.0,Wed,2020-12-23,22:00,Betis,0.3,1,0,0.8,Cádiz,,Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
160,,,,,,,NA,NA,,,,,,,
161,16.0,Tue,2020-12-29,17:00,Sevilla,1.9,2,0,0.6,Villarreal,,Estadio Ramón Sánchez Pizjuán,César Soto,Match Report,
162,16.0,Tue,2020-12-29,19:15,Barcelona,2.6,1,1,0.6,Eibar,,Camp Nou,Alberola Rojas,Match Report,
163,16.0,Tue,2020-12-29,21:30,Cádiz,0.9,0,0,0.5,Valladolid,,Estadio Ramón de Carranza,Alejandro Hernández,Match Report,
164,16.0,Tue,2020-12-29,21:30,Levante,1.2,4,3,3.0,Betis,,Estadio Ciudad de Valencia,Javier Estrada,Match Report,
165,16.0,Wed,2020-12-30,17:00,Granada,2.3,2,1,1.6,Valencia,,Estadio Nuevo Los Cármenes,Adrián Cordero,Match Report,
166,16.0,Wed,2020-12-30,19:15,Celta Vigo,2.5,2,1,1.1,Huesca,,Estadio de Balaídos,José Luis Munuera,Match Report,
167,16.0,Wed,2020-12-30,19:15,Atlético Madrid,0.7,1,0,0.9,Getafe,,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,Match Report,
168,16.0,Wed,2020-12-30,21:30,Elche,1.0,1,1,1.2,Real Madrid,,Estadio Manuel Martínez Valero,Jorge Figueroa,Match Report,
169,16.0,Thu,2020-12-31,14:00,Athletic Club,0.2,0,1,1.6,Real Sociedad,,San Mamés,José Sánchez,Match Report,
170,16.0,Thu,2020-12-31,16:15,Osasuna,0.4,1,1,1.6,Alavés,,Estadio El Sadar,Santiago Jaime,Match Report,
171,,,,,,,NA,NA,,,,,,,
172,17.0,Sat,2021-01-02,14:00,Villarreal,1.9,2,1,0.5,Levante,,Estadio de la Cerámica,Pablo González,Match Report,
173,17.0,Sat,2021-01-02,16:15,Betis,2.4,1,1,0.5,Sevilla,,Estadio Benito Villamarín,Carlos del Cerro,Match Report,
174,17.0,Sat,2021-01-02,18:30,Getafe,0.6,0,1,1.0,Valladolid,,Coliseum Alfonso Pérez,Isidro Díaz de Mera,Match Report,
175,17.0,Sat,2021-01-02,21:00,Real Madrid,1.2,2,0,0.8,Celta Vigo,,Estadio Santiago Bernabéu,Ricardo de Burgos,Match Report,
176,17.0,Sun,2021-01-03,14:00,Athletic Club,1.6,1,0,0.3,Elche,,San Mamés,Mario Melero,Match Report,
177,17.0,Sun,2021-01-03,16:15,Alavés,0.1,1,2,2.0,Atlético Madrid,,Estadio de Mendizorroza,Juan Martínez,Match Report,
178,17.0,Sun,2021-01-03,18:30,Real Sociedad,0.9,1,1,0.6,Osasuna,,Estadio Municipal de Anoeta,Valentín Pizarro,Match Report,
179,17.0,Sun,2021-01-03,18:30,Eibar,2.0,2,0,0.7,Granada,,Estadio Municipal de Ipurúa,Antonio Matéu Lahoz,Match Report,
180,17.0,Sun,2021-01-03,21:00,Huesca,0.3,0,1,2.8,Barcelona,,Estadio El Alcoraz,Guillermo Cuadra,Match Report,
181,17.0,Mon,2021-01-04,21:00,Valencia,1.0,1,1,0.8,Cádiz,,Estadio de Mestalla,David Medié,Match Report,
182,,,,,,,NA,NA,,,,,,,
183,2.0,Wed,2021-01-06,21:00,Athletic Club,0.8,2,3,1.7,Barcelona,,San Mamés,Carlos del Cerro,Match Report,
184,,,,,,,NA,NA,,,,,,,
185,18.0,Fri,2021-01-08,21:00,Celta Vigo,0.3,0,4,2.9,Villarreal,,Estadio de Balaídos,Javier Estrada,Match Report,
186,18.0,Sat,2021-01-09,14:00,Sevilla,2.3,3,2,1.1,Real Sociedad,,Estadio Ramón Sánchez Pizjuán,Alberola Rojas,Match Report,
187,18.0,Sat,2021-01-09,18:30,Granada,0.5,0,4,1.5,Barcelona,,Estadio Nuevo Los Cármenes,Ricardo de Burgos,Match Report,
188,18.0,Sat,2021-01-09,21:00,Osasuna,0.6,0,0,0.3,Real Madrid,,Estadio El Sadar,César Soto,Match Report,
189,18.0,Sun,2021-01-10,14:00,Levante,1.2,2,1,1.5,Eibar,,Estadio Ciudad de Valencia,Javier Estrada,Match Report,
190,18.0,Sun,2021-01-10,16:15,Cádiz,2.6,3,1,0.9,Alavés,,Estadio Ramón de Carranza,José Sánchez,Match Report,
191,18.0,Sun,2021-01-10,21:00,Valladolid,0.6,0,1,1.1,Valencia,,Estadio Municipal José Zorrilla,Guillermo Cuadra,Match Report,
192,18.0,Mon,2021-01-11,19:00,Elche,1.2,1,3,2.6,Getafe,,Estadio Manuel Martínez Valero,José Luis Munuera,Match Report,
193,18.0,Mon,2021-01-11,21:00,Huesca,0.8,0,2,2.1,Betis,,Estadio El Alcoraz,Adrián Cordero,Match Report,
194,,,,,,,NA,NA,,,,,,,
195,4.0,Tue,2021-01-12,19:00,Granada,0.7,2,0,0.7,Osasuna,,Estadio Nuevo Los Cármenes,Pablo González,Match Report,
196,,,,,,,NA,NA,,,,,,,
197,1.0,Tue,2021-01-12,21:30,Atlético Madrid,0.4,2,0,1.7,Sevilla,,Estadio Wanda Metropolitano,Javier Estrada,Match Report,
198,,,,,,,NA,NA,,,,,,,
199,19.0,Tue,2021-01-19,19:00,Valladolid,0.8,2,2,0.7,Elche,,Estadio Municipal José Zorrilla,Santiago Jaime,Match Report,
200,19.0,Tue,2021-01-19,19:00,Cádiz,0.5,2,2,1.5,Levante,,Estadio Ramón de Carranza,Carlos del Cerro,Match Report,
201,19.0,Tue,2021-01-19,21:30,Alavés,1.4,1,2,0.8,Sevilla,,Estadio de Mendizorroza,Isidro Díaz de Mera,Match Report,
202,19.0,Wed,2021-01-20,19:00,Getafe,0.6,1,0,0.6,Huesca,,Coliseum Alfonso Pérez,David Medié,Match Report,
